,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,features,label
0,4.3,3.0,1.1,0.1,Iris-setosa,"[4.3,3.0,1.1,0.1]",0.0
1,4.4,2.9,1.4,0.2,Iris-setosa,"[4.4,2.9,1.4,0.2]",0.0
2,4.4,3.0,1.3,0.2,Iris-setosa,"[4.4,3.0,1.3,0.2]",0.0
3,4.4,3.2,1.3,0.2,Iris-setosa,"[4.4,3.2,1.3,0.2]",0.0
4,4.6,3.1,1.5,0.2,Iris-setosa,"[4.6,3.1,1.5,0.2]",0.0
5,4.6,3.2,1.4,0.2,Iris-setosa,"[4.6,3.2,1.4,0.2]",0.0
6,4.7,3.2,1.6,0.2,Iris-setosa,"[4.7,3.2,1.6,0.2]",0.0
7,4.8,3.0,1.4,0.1,Iris-setosa,"[4.8,3.0,1.4,0.1]",0.0
8,4.8,3.0,1.4,0.3,Iris-setosa,"[4.8,3.0,1.4,0.3]",0.0
9,4.8,3.1,1.6,0.2,Iris-setosa,"[4.8,3.1,1.6,0.2]",0.0
10,4.8,3.4,1.6,0.2,Iris-setosa,"[4.8,3.4,1.6,0.2]",0.0
11,4.9,2.4,3.3,1.0,Iris-versicolor,"[4.9,2.4,3.3,1.0]",1.0
12,4.9,2.5,4.5,1.7,Iris-virginica,"[4.9,2.5,4.5,1.7]",2.0
13,4.9,3.1,1.5,0.1,Iris-setosa,"[4.9,3.1,1.5,0.1]",0.0
14,5.0,2.0,3.5,1.0,Iris-versicolor,"[5.0,2.0,3.5,1.0]",1.0
15,5.0,2.3,3.3,1.0,Iris-versicolor,"[5.0,2.3,3.3,1.0]",1.0
16,5.0,3.0,1.6,0.2,Iris-setosa,"[5.0,3.0,1.6,0.2]",0.0
17,5.0,3.4,1.5,0.2,Iris-setosa,"[5.0,3.4,1.5,0.2]",0.0
18,5.0,3.4,1.6,0.4,Iris-setosa,"[5.0,3.4,1.6,0.4]",0.0
19,5.0,3.5,1.3,0.3,Iris-setosa,"[5.0,3.5,1.3,0.3]",0.0
20,5.0,3.5,1.6,0.6,Iris-setosa,"[5.0,3.5,1.6,0.6]",0.0
21,5.0,3.6,1.4,0.2,Iris-setosa,"[5.0,3.6,1.4,0.2]",0.0
22,5.1,2.5,3.0,1.1,Iris-versicolor,"[5.1,2.5,3.0,1.1]",1.0
23,5.1,3.5,1.4,0.3,Iris-setosa,"[5.1,3.5,1.4,0.3]",0.0
24,5.1,3.7,1.5,0.4,Iris-setosa,"[5.1,3.7,1.5,0.4]",0.0
25,5.1,3.8,1.5,0.3,Iris-setosa,"[5.1,3.8,1.5,0.3]",0.0
26,5.1,3.8,1.6,0.2,Iris-setosa,"[5.1,3.8,1.6,0.2]",0.0
27,5.2,2.7,3.9,1.4,Iris-versicolor,"[5.2,2.7,3.9,1.4]",1.0
28,5.2,3.5,1.5,0.2,Iris-setosa,"[5.2,3.5,1.5,0.2]",0.0
29,5.2,4.1,1.5,0.1,Iris-setosa,"[5.2,4.1,1.5,0.1]",0.0
30,5.4,3.0,4.5,1.5,Iris-versicolor,"[5.4,3.0,4.5,1.5]",1.0
31,5.4,3.4,1.5,0.4,Iris-setosa,"[5.4,3.4,1.5,0.4]",0.0
32,5.4,3.4,1.7,0.2,Iris-setosa,"[5.4,3.4,1.7,0.2]",0.0
33,5.4,3.9,1.3,0.4,Iris-setosa,"[5.4,3.9,1.3,0.4]",0.0
34,5.4,3.9,1.7,0.4,Iris-setosa,"[5.4,3.9,1.7,0.4]",0.0
35,5.5,2.4,3.7,1.0,Iris-versicolor,"[5.5,2.4,3.7,1.0]",1.0
36,5.5,2.4,3.8,1.1,Iris-versicolor,"[5.5,2.4,3.8,1.1]",1.0
37,5.5,2.5,4.0,1.3,Iris-versicolor,"[5.5,2.5,4.0,1.3]",1.0
38,5.5,2.6,4.4,1.2,Iris-versicolor,"[5.5,2.6,4.4,1.2]",1.0
39,5.5,4.2,1.4,0.2,Iris-setosa,"[5.5,4.2,1.4,0.2]",0.0
40,5.6,2.7,4.2,1.3,Iris-versicolor,"[5.6,2.7,4.2,1.3]",1.0
41,5.6,2.8,4.9,2.0,Iris-virginica,"[5.6,2.8,4.9,2.0]",2.0
42,5.6,3.0,4.1,1.3,Iris-versicolor,"[5.6,3.0,4.1,1.3]",1.0
43,5.7,2.5,5.0,2.0,Iris-virginica,"[5.7,2.5,5.0,2.0]",2.0
44,5.7,2.6,3.5,1.0,Iris-versicolor,"[5.7,2.6,3.5,1.0]",1.0
45,5.7,2.8,4.1,1.3,Iris-versicolor,"[5.7,2.8,4.1,1.3]",1.0
46,5.7,2.9,4.2,1.3,Iris-versicolor,"[5.7,2.9,4.2,1.3]",1.0
